city,state,url
Billerica,Massachusetts,https://www.ubereats.com/location/billerica-massachusetts
Billings,Montana,https://www.ubereats.com/location/billings
Biloxi,Mississippi,https://www.ubereats.com/location/biloxi-mississippi
Bingham Farms,Michigan,https://www.ubereats.com/location/bingham-farms-michigan
Binghamton,New York,https://www.ubereats.com/location/binghamton-new-york
"Birmingham, AL",Alabama,https://www.ubereats.com/location/birmingham-al
Biscayne Park Florida,Florida,https://www.ubereats.com/location/biscayne-park-florida
Bismarck,North Dakota,https://www.ubereats.com/location/bismarck
Blacklick,Ohio,https://www.ubereats.com/location/blacklick-ohio
Blacksburg,Virginia,https://www.ubereats.com/location/blacksburg-virginia
Blackwood,New Jersey,https://www.ubereats.com/location/blackwood-new-jersey
Blaine,Minnesota,https://www.ubereats.com/location/blaine-minnesota
Blauvelt,New York,https://www.ubereats.com/location/blauvelt-new-york
Bloomfield,Connecticut,https://www.ubereats.com/location/bloomfield-connecticut
Bloomfield,New Jersey,https://www.ubereats.com/location/bloomfield-new-jersey
Bloomfield Hills,Michigan,https://www.ubereats.com/location/bloomfield-hills-michigan
Bloomfield Township,Michigan,https://www.ubereats.com/location/bloomfield-twp-michigan
Bloomingdale,Illinois,https://www.ubereats.com/location/bloomingdale-illinois
"Bloomington, IN",Indiana,https://www.ubereats.com/location/bloomington
Blue Bell,Pennsylvania,https://www.ubereats.com/location/blue-bell-pennsylvania
Blue Island,Illinois,https://www.ubereats.com/location/blue-island-illinois
Blue Mound,Texas,https://www.ubereats.com/location/blue-mound-texas
Blue Point,New York,https://www.ubereats.com/location/blue-point-new-york
Blue Springs,Missouri,https://www.ubereats.com/location/blue-springs-missouri
Bluffdale,Utah,https://www.ubereats.com/location/bluffdale-utah
Boca Raton,Florida,https://www.ubereats.com/location/boca-raton-florida
Bohemia,New York,https://www.ubereats.com/location/bohemia-new-york
Boise,Idaho,https://www.ubereats.com/location/boise
Bolingbrook Illinois,Illinois,https://www.ubereats.com/location/bolingbrook-illinois
Bon Air,Virginia,https://www.ubereats.com/location/bon-air-virginia
Bonita,California,https://www.ubereats.com/location/bonita-california
Bonita Springs,Florida,https://www.ubereats.com/location/bonita-springs-florida
Bonsall,California,https://www.ubereats.com/location/bonsall-california
Boone,North Carolina,https://www.ubereats.com/location/boone
Boonton,New Jersey,https://www.ubereats.com/location/boonton-new-jersey
Boothwyn,Pennsylvania,https://www.ubereats.com/location/boothwyn-pennsylvania
Bordentown,New Jersey,https://www.ubereats.com/location/bordentown-new-jersey
Boring,Oregon,https://www.ubereats.com/location/boring-oregon
Bossier City,Louisiana,https://www.ubereats.com/location/bossier-city-louisiana
Boston,Massachusetts,https://www.ubereats.com/location/boston
Boulder,Colorado,https://www.ubereats.com/location/boulder-colorado
Bound Brook,New Jersey,https://www.ubereats.com/location/bound-brook-new-jersey
Bountiful,Utah,https://www.ubereats.com/location/bountiful-utah
Bourbonnais,Illinois,https://www.ubereats.com/location/bourbonnais-illinois
Bowling Green,Kentucky,https://www.ubereats.com/location/bowling-green-kentucky
Bowling Green,Ohio,https://www.ubereats.com/location/bowling-green-ohio
"Bowling Green, KY",Kentucky,https://www.ubereats.com/location/bowling-green-ky
Boynton Beach,Florida,https://www.ubereats.com/location/boynton-beach-florida
Bozeman,Montana,https://www.ubereats.com/location/bozeman
