name,city,cuisine,rating,price_range,coordinates,phone,url,address,opening_hours
Kawa Sushi,new-york,"['Sushi', 'Noodles', 'Japanese', 'Asian']","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '11'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7376975, 'longitude': -74.00438079999999}",+12123666888,https://www.ubereats.com/new-york/food-delivery/kawa-sushi/m6OdNrD-TZCWWYVE9Pv0pA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10014', 'addressCountry': 'US', 'streetAddress': '24 8th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:30', 'closes': '16:0'}]"
Adoro Lei,new-york,"['Pizza', 'American', 'Italian']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7256037, 'longitude': -74.0079092}",+16466665096,https://www.ubereats.com/new-york/food-delivery/adoro-lei/dgPsohv1SgOcj0LIuEDfwQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '287 Hudson St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '23:59'}]"
Pepe Giallo,new-york,"['Italian', 'Pasta', 'Comfort Food']","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '36'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7469042, 'longitude': -74.0050222}",+12122426055,https://www.ubereats.com/new-york/food-delivery/pepe-giallo/zIW_LGgiTUaYT5lTthp0Lw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '195 10th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '14:0', 'closes': '21:30'}]"
BurgerUrWay,new-york,"['Burgers', 'American', 'Sandwiches']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7509001, 'longitude': -73.9711111}",+16468844786,https://www.ubereats.com/new-york/food-delivery/burgerurway/nmffHJ3-SwO6KzFI7_5DEw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10017', 'addressCountry': 'US', 'streetAddress': '820 2nd Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '23:0'}]"
Starbucks® (17th &amp 1st),new-york,"['Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery']","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '229'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7329909, 'longitude': -73.9808656}",+12123531214,https://www.ubereats.com/new-york/food-delivery/starbucks-17th-%26-1st/ZDrwq-A6SYitfWrgBbvF5g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '286 First Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '18:0'}]"
TAP NYC - Upper West Side,new-york,"['Brazilian', 'Healthy', 'Gluten Free Friendly']","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '119'}",$$$,"{'@type': 'GeoCoordinates', 'latitude': 40.77756, 'longitude': -73.97839}",+16464007756,https://www.ubereats.com/new-york/food-delivery/tap-nyc-upper-west-side/M7-dQTWvSleiiNgKFRGCig,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10023', 'addressCountry': 'US', 'streetAddress': '267 Columbus Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '8:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '8:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '19:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '8:0', 'closes': '19:30'}]"
A Spice Route - Tandoor Palace,new-york,"['Indian', 'Vegetarian', 'Vegan']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.709101, 'longitude': -74.005837}",+12123497643,https://www.ubereats.com/new-york/food-delivery/a-spice-route-tandoor-palace/p02z8SZGQP6JhefjtgUjVQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10038', 'addressCountry': 'US', 'streetAddress': '88 Fulton St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '20:30'}]"
Vegan Love,new-york,"['Vegetarian / Vegan', 'Burgers', 'Salads']",{},,"{'@type': 'GeoCoordinates', 'latitude': 40.7285048, 'longitude': -73.9832338}",+6464765999,https://www.ubereats.com/new-york/food-delivery/vegan-love/uxEWe2FRTOmCJWe5MvYzzw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '263 E 10th St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '22:0'}]"
The Hummus &amp Pita Co - Chelsea,new-york,"['Mediterranean', 'Greek', 'Vegetarian']","{'@type': 'AggregateRating', 'ratingValue': 4.2, 'reviewCount': '16'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7392013, 'longitude': -73.9959348}",+12125107405,https://www.ubereats.com/new-york/food-delivery/the-hummus-%26-pita-co-chelsea/P_zCkgp1TMCNMZxymwLC8g,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '585 6th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '21:30'}]"
Dorlan's Tavern and Oyster Bar,new-york,"['Burgers', 'American', 'Sandwiches']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.70723700000001, 'longitude': -74.0023085}",+13476229659,https://www.ubereats.com/new-york/food-delivery/dorlans-tavern-and-oyster-bar/5_FOzp79TAODe0VFr-ogWA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10038', 'addressCountry': 'US', 'streetAddress': '213 Front St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '0:0'}]"
Hungry Wolf,new-york,"['Burgers', 'American', 'Sandwiches']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7308311, 'longitude': -73.9827126}",+12124647345,https://www.ubereats.com/new-york/food-delivery/hungry-wolf/YRyBqRq4R4WZ_O43tkHzHA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '222 1st Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '20:30'}]"
Cafe Bari - Midtown West,new-york,"['American', 'Breakfast and Brunch', 'Desserts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7528646, 'longitude': -73.9859954}",+12124314350,https://www.ubereats.com/new-york/food-delivery/cafe-bari-midtown-west/5g_qM-KfRYmfStr8JfUQWg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10018', 'addressCountry': 'US', 'streetAddress': '1033 6th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '15:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:30', 'closes': '18:0'}]"
Eggloo - East Village,new-york,"['Asian Fusion', 'Desserts', 'Ice Cream and Frozen Yogurt']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.727509, 'longitude': -73.982736}",+13476674885,https://www.ubereats.com/new-york/food-delivery/eggloo-east-village/5b3a4lPaRKKqr6jKXmtfdA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '147 Avenue A'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '13:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '13:0', 'closes': '23:0'}]"
Papaya Dog - Greenwich Village (6th Ave),new-york,"['Fast Food', 'Breakfast and Brunch', 'Burgers']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.731547, 'longitude': -74.001394}",+12126279748,https://www.ubereats.com/new-york/food-delivery/papaya-dog-greenwich-village-6th-ave/PnVLT98KQDSOmHgpKI0qgg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10014', 'addressCountry': 'US', 'streetAddress': '333 6th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '4:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:30', 'closes': '10:15'}]"
Casa La Femme - West Village,new-york,"['Egyptian', 'Moroccan', 'Vegetarian Friendly', 'Allergy Friendly']",{},$$$,"{'@type': 'GeoCoordinates', 'latitude': 40.7340691, 'longitude': -74.0080871}",+12125050005,https://www.ubereats.com/new-york/food-delivery/casa-la-femme-west-village/G0JrQrx8RyiDaBznNDQcDQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10014', 'addressCountry': 'US', 'streetAddress': '140 Charles St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '16:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:0', 'closes': '22:0'}]"
Bagel Buffet,new-york,"['Breakfast and Brunch', 'American', 'Sandwiches']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7369126, 'longitude': -73.99689029999999}",+12129248911,https://www.ubereats.com/new-york/food-delivery/bagel-buffet/7JH1GggOSI-eTU7OVEko3w,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '510 6th Avenue 1st Floor'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '2:0', 'closes': '2:1'}]"
Pura vita super,new-york,"['Ice Cream &amp; Frozen Yogurt', 'Comfort Food', 'Desserts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.74406, 'longitude': -73.9964368}",+19292641915,https://www.ubereats.com/new-york/food-delivery/pura-vita-super/l82cEzCFQBuCv8XdwS2pPQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '208 W 23rd St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '12:0', 'closes': '22:0'}]"
David Bagel,new-york,"['Breakfast and Brunch', 'Sandwich']","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '108'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.732511, 'longitude': -73.982016}",+12127802308,https://www.ubereats.com/new-york/food-delivery/david-bagel/c-HIC3NZTh25YsQwxQK6pA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '273 1st Avenue'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '15:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:0', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '15:15'}]"
Teazzi Tea Shop,new-york,"['Coffee and Tea', 'Bubble Tea', 'Asian']","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '100'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.737255, 'longitude': -73.99572}",+19172681999,https://www.ubereats.com/new-york/food-delivery/teazzi-tea-shop/SV6IjwKnSe-QuIRXwf_7vQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '47 W 14th St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]"
Burger King (327 West 42nd Street),new-york,"['American', 'burger', 'Fast Food']","{'@type': 'AggregateRating', 'ratingValue': 4.5, 'reviewCount': '500'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7579728, 'longitude': -73.99097410000002}",+19175126842,https://www.ubereats.com/new-york/food-delivery/burger-king-327-west-42nd-street/DpQdj7IUR6m4twxXUY-e7Q,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10036', 'addressCountry': 'US', 'streetAddress': '327 West 42nd Street'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '0:0', 'closes': '3:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:30', 'closes': '10:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '0:0', 'closes': '3:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '23:59'}]"
Champs Gourmet Deli,new-york,"['Sandwiches', 'American', 'Healthy']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7062784, 'longitude': -74.01162769999999}",+12123634000,https://www.ubereats.com/new-york/food-delivery/champs-gourmet-deli/NaB5rLpAT6yYGvvc6JVq6Q,"{'@type': 'PostalAddress', 'addressLocality': 'Manhattan', 'addressRegion': 'NY', 'postalCode': '10004', 'addressCountry': 'US', 'streetAddress': '30 Broad Street'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '14:30'}]"
Brasserie Cognac East,new-york,"['French', 'Sandwich', 'Healthy', 'Desserts']",{},$$$,"{'@type': 'GeoCoordinates', 'latitude': 40.769112, 'longitude': -73.962899}",+12122495100,https://www.ubereats.com/new-york/food-delivery/brasserie-cognac-east/25SsukdtSBS6PIaUD9s8Aw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '', 'addressCountry': 'US', 'streetAddress': '963 Lexington Ave'}",[]
Vivi Bubble Tea,new-york,"['Chinese', 'Bubble Tea', 'Taiwanese', 'Asian', 'Desserts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7151669, 'longitude': -73.99748799999999}",+12125666833,https://www.ubereats.com/new-york/food-delivery/vivi-bubble-tea/3pUCj9SiQgaZK7Rde2nNJQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '49 Bayard St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '18:30'}]"
Bravo Pizza - 7th Ave,new-york,"['Pizza', 'American', 'Italian']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.74846399999999, 'longitude': -73.9926869}",+12122351114,https://www.ubereats.com/new-york/food-delivery/bravo-pizza-7th-ave/mpHkhNWXTnCU6-gJg0bUng,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10001', 'addressCountry': 'US', 'streetAddress': '360 7th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:45'}]"
Uncle Jack's Steakhouse - Westside,new-york,"['American', 'Steak', 'BBQ']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.7536567, 'longitude': -73.9955598}",+12122440005,https://www.ubereats.com/new-york/food-delivery/uncle-jacks-steakhouse-westside/y3giNY_pRTmaLAArUisJ8Q,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10001', 'addressCountry': 'US', 'streetAddress': '440 9th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '19:0'}]"
Prince tea house,new-york,"['Desserts', 'Vegetarian', 'Coffee and Tea', 'Breakfast and Brunch', 'Sandwich', 'Bubble Tea']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.7190154, 'longitude': -73.9949034}",+19294168431,https://www.ubereats.com/new-york/food-delivery/prince-tea-house/Ubuhz8HoSOmlWg6nyoOM2A,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '134 Bowery'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]"
Baked By Melissa - Upper East Side @ 61st St,new-york,"['Desserts', 'Cupcakes', 'Bakery', 'Gluten Free', 'Gluten Free Friendly']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.76361929999999, 'longitude': -73.9673775}",+16468637269,https://www.ubereats.com/new-york/food-delivery/baked-by-melissa-upper-east-side-%40-61st-st/r7mUZhiNRBiiZ9RjsyNUkw,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10065', 'addressCountry': 'US', 'streetAddress': '784 Lexington Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '18:30'}]"
Zaabver - East Village,new-york,"['Thai', 'Asian', 'Noodles']",{},$$,"{'@type': 'GeoCoordinates', 'latitude': 40.726574, 'longitude': -73.989505}",+12125059533,https://www.ubereats.com/new-york/food-delivery/zaabver-east-village/h_EferUMRB2H2shs9CBNrg,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '75 2nd Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '17:0', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '11:30', 'closes': '15:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '17:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday'], 'opens': '11:30', 'closes': '15:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '22:30'}]"
Chicken Tikka Snob,new-york,"['Indian', 'Vegetarian', 'Asian']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.726808, 'longitude': -73.98748739999999}",+12129823632,https://www.ubereats.com/new-york/food-delivery/chicken-tikka-snob/7ugQBRpqRmONVjvsunMjqA,"{'@type': 'PostalAddress', 'addressLocality': 'new york city', 'addressRegion': 'ny', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '322 East 6th st'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '23:30'}]"
Suspenders ,new-york,"['Comfort Food', 'Mediterranean']",{},,"{'@type': 'GeoCoordinates', 'latitude': 40.70861, 'longitude': -74.0136}",+19179695136,https://www.ubereats.com/new-york/food-delivery/suspenders/ICe6NbE4RwC-T2FyPH5YXQ,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10006', 'addressCountry': 'US', 'streetAddress': '108 Greenwich Street 1st floor'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday'], 'opens': '12:0', 'closes': '19:0'}]"
Jet's Pizza (120 9th Ave),new-york,"['Pizza', 'Salads', 'Desserts']","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '157'}",$,"{'@type': 'GeoCoordinates', 'latitude': 40.7432095, 'longitude': -74.00357129999999}",+13322095387,https://www.ubereats.com/new-york/food-delivery/jets-pizza-120-9th-ave/anvimF2sQfiBjJRN45SMlA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'New York', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '120 9th Ave'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '23:59'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '0:0', 'closes': '1:0'}]"
Dunkin' (303 Canal St),new-york,"['Breakfast and Brunch', 'Donuts']",{},$,"{'@type': 'GeoCoordinates', 'latitude': 40.71980120000001, 'longitude': -74.002104}",+12122262333,https://www.ubereats.com/new-york/food-delivery/dunkin-303-canal-st/0h5MDwaGT0u0xnHuA2LsQA,"{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '303 Canal St'}","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '16:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '7:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '7:31', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '7:0', 'closes': '16:30'}]"
